"Name","Total Time","Total Time (CPU)","Hits"
"Monitor Ctrl-Break","114,608 ms (-0%)","114,608 ms (-0%)","1"
" com.intellij.rt.execution.application.AppMainV2$1.run ()","114,608 ms (-0%)","114,608 ms (-0%)","1"
"  java.io.BufferedReader.readLine ()","114,608 ms (-0%)","114,608 ms (-0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Catalina-utility-1","114,608 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Catalina-utility-2","114,608 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"container-0","114,608 ms (-0%)","0.0 ms (0%)","1"
" org.springframework.boot.web.embedded.tomcat.TomcatWebServer$1.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.catalina.core.StandardServer.await ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"   java.lang.Thread.sleep[native] ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8080-BlockPoller","114,608 ms (-0%)","0.0 ms (0%)","1"
" org.apache.tomcat.util.net.NioBlockingSelector$BlockPoller.run ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"  sun.nio.ch.SelectorImpl.select ()","114,608 ms (-0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8080-exec-1","114,608 ms (-0%)","293 ms (-0%)","1"
" java.lang.Thread.run ()","114,608 ms (-0%)","293 ms (-0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","114,608 ms (-0%)","293 ms (-0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","114,608 ms (-0%)","293 ms (-0%)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","114,608 ms (-0%)","293 ms (-0%)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","114,315 ms (-0%)","0.0 ms (0%)","2"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","114,315 ms (-0%)","0.0 ms (0%)","2"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","114,315 ms (-0%)","0.0 ms (0%)","2"
"        java.util.concurrent.LinkedBlockingQueue.take ()","114,315 ms (-0%)","0.0 ms (0%)","2"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","2"
"     org.apache.tomcat.util.net.SocketProcessorBase.run ()","293 ms (-0%)","293 ms (-0%)","1"
"      org.apache.tomcat.util.net.NioEndpoint$SocketProcessor.doRun ()","293 ms (-0%)","293 ms (-0%)","1"
"       org.apache.coyote.AbstractProtocol$ConnectionHandler.process ()","293 ms (-0%)","293 ms (-0%)","1"
"        org.apache.coyote.AbstractProcessorLight.process ()","293 ms (-0%)","293 ms (-0%)","1"
"         org.apache.coyote.http11.Http11Processor.service ()","293 ms (-0%)","293 ms (-0%)","1"
"          org.apache.catalina.connector.CoyoteAdapter.service ()","293 ms (-0%)","293 ms (-0%)","1"
"           org.apache.catalina.core.StandardEngineValve.invoke ()","293 ms (-0%)","293 ms (-0%)","1"
"            org.apache.catalina.valves.ErrorReportValve.invoke ()","293 ms (-0%)","293 ms (-0%)","1"
"             org.apache.catalina.core.StandardHostValve.invoke ()","293 ms (-0%)","293 ms (-0%)","1"
"              org.apache.catalina.authenticator.AuthenticatorBase.invoke ()","293 ms (-0%)","293 ms (-0%)","1"
"               org.apache.catalina.core.StandardContextValve.invoke ()","293 ms (-0%)","293 ms (-0%)","1"
"                org.apache.catalina.core.StandardWrapperValve.invoke ()","293 ms (-0%)","293 ms (-0%)","1"
"                 org.apache.catalina.core.ApplicationFilterChain.doFilter ()","293 ms (-0%)","293 ms (-0%)","1"
